title,note,user_email
Lake,"The lake is a long way from here.",david@test.com
Mary,"Mary plays the piano.",david@test.com
Town,"There were white out conditions in the town; subsequently, the roads were impassable.",david@test.com
Car,"I think I will buy the red car, or I will lease the blue one.",david@test.com
Seats,"They got there early, and they got really good seats.",joseph@test.com
Clock times,"I often see the time 11:11 or 12:34 on clocks",joseph@test.com
Musing,"I currently have 4 windows open up...and I don’t know why",joseph@test.com
Storytime,"He told us a very exciting adventure story",leon@test.com
Pig,"A purple pig and a green donkey flew a kite in the middle of the night and ended up sunburnt",blaise@test.com
Busyness,"Everyone was busy, so I went to the movie alone.",bernhard@test.com
Writing,"Writing a list of random sentences is harder than I initially thought it would be",bernhard@test.com
